"comentario";"depressao"
"eu vou comecar. hoje a ouvir sofro de depressao profunda a vinte anos   e desde dai a tomar antidepressivos ja nem sei as marcas pois ja tentei de todas o que eu mais quero e curar me e voltar a ter uma vida normal,acredito que vou ficar bem ouvindo este video  daqui a um mes virei aqui para dizer como correu.muito obrigada de coracaoporto portugal.";"s"
"espero que ele fique bem, e se de alguma forma puder alcanca-lo com o poder de preces e oracoes, nao custa nada mandar essa forca pra ele, principalmente como forma de gratidao por tantos momentos felizes e engracados que ele nos proporcionou com suas atuacoes nos filmes e tambem por ele ser tao especial pra todos nos, que somos fas e admiramos o seu trabalho e o homem formidavel que ele e.";"n"
"esta me ajudando esse audio tem ansiedade , fobia social mais antes era so as vezes ai de um tempo pra ca comecei ficar ancioso toda hora na escola etc... recomendo que vcs escutem esse audio no fone de ouvido e faca flexoes de braco ou algum exercicio fisico (eu faco 10 flexoes ai vou relaxo respiro bem fundo por uns 2 minutos dps faco mais 10 e relaxo ai bebo uma garrafinha de agua toda isso salva meu dia ) cmg funciona";"n"
"fui diagnosticada em janeiro desse ano, sigo com a terapia e possivelmente entrarei com remedios e acompanhamento psiquiatrico, no comeco meus pais pensaram que era preguica, falta de compromisso, fase da adolescencia, etc, hoje eles sabem que depressao e uma doenca e tentam entender meu lado, e muito dificil conciliar coisas simples, ate um mero banho vira uma tortura, mas seguimos firmes.   vai dar tudo certo no final migos <3";"s"
"video sensacional!! vc falou tudo, maravilhosamente bem, nilce.  atualmente e, triste, mas a tristeza e a ansiedade encontram mt mais facil esse terreno fertil, pq nos nao sabemos lidar com as tristezas e ansiedades normais e na maioria dos casos ninguem prepara a gnt p isso. com as redes sociais a gnt esta valorizando mt as felicidades e conquistas e esquecendo q temos que lidar com a parte negativa da vida tbm.";"n"
"alguem me ajuda, to na duvida, todo dia eu choro por tristeza e por so pensar nas coisas ruins que existe e por ter baixa autoestima, sou muito sensivel, me magoo facil, nao tenho vontade de fazer nada, sem interesse de nada, mas nunca me cortei e nunca tentei me suicidar apesar de pensar nisso, eu terminei meu relacionamento a uns dias por duvida e estresse mas me arrependi, nao consigo fazer amizades, e nao tenho amigos, isso pode ser depressao?";"s"
"vou deixar meu comentario como uma leitura complementar sobre o assunto.   eu sei o que e depressao. e uma sensacao de desconexao com o ambiente social (amigos e familiares) e perda de sentido nas atividades do dia a dia. a mente fica aparentemente bloqueada para criar novos habitos e os pensamentos sao geralmente de sintonia baixa, como medo e culpa (nao consigo ser como os outros, eu nao sei viver, nao consigo ser feliz, meus amigos nao se importam). e uma fase de tristeza constante e confusao mental. minha explicacao para essa doenca nao e muito cientifica, mas acredito que seja causada por uma mudanca do foco da pessoa. ela passa a dar mais peso aos problemas e nao confere sentido as oportunidades de crescimento. e um apego ao passado constante, onde todas as energias dessa pessoa sao esgotadas em frustracao, criando uma especie de prisao que se intensifica a medida que ganha cada vez mais forca do que os momentos alegres do presente. (eu acho que a causa e mais espiritual).  obrigado nilce ";"n"
"quando comecei ater  a depressao nao tinha fome e com isso em uma semana eu simplesmente nao comia nada e com isso emagreci 3 kg em uma semana e com isso tambem fiquei muito doente foque 5 dias com febre direto e nao comia comercia a passar muito mal penso em ne suicidar todo dia a cidade que eu moro e a cidade do brasil com mais restricao de suicidios e suicidas";"s"
"nossa, vc me descreveu totalmente! me vi em vc. estou com depressao atualmente e tenho total clareza quanto a isso. mas e taaao dificil passar por cima disso e procurar ajuda! ainda mais quando a familia acha que e frescura, vc ficar em casa sem reacao pra tudo, sem conseguir levantar da cama pela manha, sem ter coragem... vou comecar a procurar por ajuda. obrigada por esse video  aguardando pelos de mais  devo procurar por um psicologo ou psiquiatra? tentei ir a sessoes com um psicologo, mas nao engatei... e sinto que preciso dessa ajuda urgentemente ";"s"
"eu tenho depressao, mas nunca desejei ter carros e casas, ou chamar atencao das pessoas, ja fiz tanta coisa, isso ai que vc falou e fichinha pra mim, ja fiz tudo isso ai, o melhor tratamento e a terrapia e  um bom psiquiatra te acompanhando, essas coisas ai que vc falou e so pra pessoas que estao com depressao leve, ou uma tristeza profunda, nao serve pra quem tem depressao bipolar a 10 anos como eu tenho, mas estou aqui pq me tratei, os remedios e deus e a unica solucao, o que vc falou e muito importante, mas e pra quem ja ta se cuidando com os remedios, quem ta sem medicar nao adianta, a nao ser que a pessoa so esteja passando por um momento de tristeza, mas se for bem profunda nao vai adiantar, meu conselho entes de fazer isso tudo que ele falou e busque ajuda medica por favor, nao se deixe abater, busque deus e ele vai te ajudar.";"s"
"eu ja tive depressao durante 3 anos, ia na psicologa.. mas eu sempre sentia um vazio, meus pais diziam que era drama ou frescura... eu sofri bullying durante a minha vida inteira, eu tentava me destrair vendo video no youtube, mas eu sempre acabava vendo videos depressivos... ja pensei em suicidio varias vezes, e por causa da depressao eu carrego marcas nos meus pulsos ate hoje, todo mundo dizia que eu tava tentando chamar atencao dos outros... mas gracas a deus eu superei isso, mas ainda tenho crises de ansiedade... mas estou melhor que antes!";"s"
"e eu penso porra, se o jim carrey, com todo sucesso que ele tem, podendo realizar todos seus sonhos materiais, ir pra qualquer lugar do mundo e nao ter que aturar horas por dia de trabalho chato e estressante, esta com depressao, imagina se ele estivesse em meu lugar.. ele ja teria se matado.. e mesmo assim sou tao feliz.. nao consigo compreender essas coisas..";"n"
"os mais militudos sao os que xingam por nomes racistas, chamam de baitola, os caralhos. gente, vamos mandar a real, voces entraram na internet ontem? ninguem consegue manter a coerencia pra sempre, todo mundo tem e reproduz preconceitos, nego militudo ja veio pro meu lado mandando eu lavar louca quando escrevi coisinha que ele nao gostou, por isso que xingo geral a la decada de 90 e foda-se, quer processar processa, quer derrubar minhas contas derruba, sou uma pessoa horrivel mesmo e aceitem ou morram com isso.";"n"
"olha, eu gostaria de contar a minha historia, tenho um irmao esquizofrenico e sofri muito com ele pois ele era muito agressivo, batia em gente, nas paredes, gritava, e eu que era menor me escondia no banheiro para ele nao me bater. ja vi ele surtar e bater no meu pai e varias outras coisas que nem gostaria de dizer, desenvolvi uma ansiedade a partir disso, ate que fumei maconha pela primeira vez, na hora fiquei desesperado, nunca senti tanto medo na minha vida, pensei iam descobrir e o efeito da maconha nunca ia passar, dessa forma desenvolvi um transtorno de ansiedade generalizada e depressao, e tambem tenho medo de virar esquizofrenico, meu amigo, se voce se identificou comigo, o que eu tenho a te dizer e: tenha calma, conte a causa da sua ansiedade para sua psicologa e peca para ela nao contar aos seus pais, va ao psiquiatra voce vai tomar anti depressivos e antiosioliticos, ria com seus amigos, e outra coisa ouca esse audio! ele e milagroso voce vai perceber como ele vai trazer tua vida de volta como era antes, nao se preocupe com nada, voce vera que em 1-2 meses estara 100%";"s"
"estou ouvindo este audio ha tres dias e desde o primeiro minuto ja me senti melhor,estava num estado depressivo tao terrivel que nao saia mais da cama,dormia o tempo todo pra fugir da realidade, ontem sai na rua,dancei,recebi amigos em casa e nao senti vontade de chorar ou lamentar da vida,bem,so quem e depressivo vai entender a importancia dessas pequenas coisas,imensa gratidao a quem disponibilizou este tratamento maravilhoso,bencaos e bencaos em sua vida!";"s"
"minha tia tem depressao... acho q ela sempre teve.. teve crises.. quebrou carro do ex marido.. mania de perseguicao(da familia vizinhos etc).. o ex marido n aguentou e separou dela.. a filha saiu d casa.. ela se distanciou da familia toda pq acha q todos querem o mal dela... quando ela vem em casa ela n para d chorar e fala coisa com coisa.. joga tijolos nos vizinho.. enfim.. eh foda.. e eu tenho q me cuidar pq tenho tendencia pois minha vo tinha e minha mae teve principio.. e eu tbm as vezes sinto sintomas.. eh foda :(";"s"
"me julguem, mas eu tambem vejo semelhanca entre o carnivorismo e o machismo. no machismo, o homem se sente superior a mulher e por isso acha que pode controla-la e trata-la como uma propriedade dele. ja o carnivorismo e resultado do especismo, em que a especie humana se sente superior as demais e por isso acha que pode comer e tratar animais como objetos, mesmo a gente nao necessitando disso pra sobreviver (nao no estagio de desenvolvimento em que a sociedade se encontra hoje). mas querer dizer que seu comportamento machista e agressivo e resultado da carne que comeu ja e demais kkkkkkkkkkkkk o pior e que esses caras que falam bosta sempre distorcem teorias e usam o nome de autoridades em certos assuntos pra justificar um pensamento bosta lkkkkk mdssssss  vergonha alheia :v";"n"
"normalmente vou na psicologa por problemas que passei no passado e ela disse que por meu comportamento estou com indicios de depressao, nao tenho vontade de sair da cama, parei de estudar por isso, tenho problemas de concentracao, a unica coisa que me anima e assistir anime, e agora nem tanto assim, irei no medico essa semana para ver oque estas acontecendo comigo, tive sorte por meus pais serem compreensivos mas se alguem ai estiver com problema pode contar comigo, nao quero que ninguem passe por isso";"s"
"eu so tenho 12 anos e minha auto-estima ta muito baixa, eu choro por tuuuudo, mesmo sem motivo, toda vez q eu me olho no espelho eu comeco a chorar, eu me acho horrivel e eu me sinto como se eu nao fosse quem eu sou, eu nao me reconheco, sabe? de um tempo pra ca, eu fico trancada no meu quarto o dia inteiro e nao tenho vontade nem de levantar da cama, eu nao tenho vontade de fazer nada, e pra piorar, minhas notas na escola estao abaixando pq eu nao consigo prestar atencao nas aulas, eu to dormindo muuiiito e to sempre cansada e eu sinto um vazio enorme em mim, eu nao sei explicar. sera q eu to com depressao? espero q nao, e mesmo se estiver, eu nao consigo conversar dessas coisas com a minha mae ou qualquer outra pessoa, tenho medo de me julgarem (pq a minha familia e assim) ou nao entenderem";"s"
"eu tinha depressao cheguei a cortar meus pulsos fiquei inconsciente por dois dias foi injetado 1 litro e meio de sangue nas minha veias pois eu tinha perdido muito sangue um ano depois eu fiquei sem comer por mais de 20 dias e entrei em coma alimentar fique dois meses internado em coma depois eu fui procurar ajuda com um psicologo que conseguiu me tirar da depressao me emocionei muito nesse video e fica minha mensagem para todos que sofrem com essa doenca tem cura procura ajuda nao fique no canto chorando procure ajuda nao fique parado";"s"
"e muito triste ver um grande ator como ele estar passando por esses problemas, pois ja nos fez rir muitas vezes em que estavamos tristes, mas e importante lembrar que a depressao e algo serio e as pessoas tem que ver que quando esta muito pesado, pois e muito dificil e so quem teve sabe.. e preciso as vezes nao so medicamentos,mas tambem, fazer terapia, por bastante tempo, pois as vezes ter alguem pra falar sobre que compreende ajuda muito. torcendo para que ele venha nessa nova fase bem e saudavel.";"s"
"chegaram a sair lagrimas dos meus olhos ao falar sobre isso, jim carrey e meu ator favorito, os filmes dele sempre me fizeram passar por cima de varios momentos ruins q ja passei (principalmente brilho eterno de uma mente sem lembrancas)... ja tive depressao e realmente isso e algo muito ruim, pq parece que nunca vai acabar, e algo muito estranho e dificil de lidar, espero que ele esteja bem e que fique tudo bem pra ele daqui pra frente :)";"n"
"muito interessante o video.  parabens pela iniciativa.  vim aqui por indicacao de uma amiga que ainda esta em depressao e encontrou um pouco de conforto nos relatos de voces.  confesso que o relato que mais me tocou foi o do hugo nasck, principalmente por conta de toda a pressao social que ele viveu (e, certamente, ainda vive).  forca, pessoal. voces sao lindos.  amplexos ursideos.";"n"
"muito interessante esse audio ,estou ouvindo e consegui relaxar muito ,so quem tem esses problemas sabe o quanto e dificil lidar com eles ,tenho crises de ansiedade e medos constantes mas tenho certeza que vaie ajudar muito . tudo e valido pra quem tem panico e ansiedade se puder ajudar sem ter que tomar medicacao melhor ainda ,vou continuar ouvindo com certeza . gratidao !";"s"
"e o que vc faz quando vc sabe que nao esta bem, conta pra sua familia o que esta acontecendo com vc mas, sua familia simplesmente  diz que e bobagem?! sua familia acha que e frescura sua, te impedem de procurar um psicologo por dizer que ele so vai encher sua cabeca de pensamentos idiotas ?! me sinto cada dia pior, tento com todas minhas forcas seguir em frente, quero voltar a estudar, quero trabalhar, mas na msm hora que estou disposta a ir atras disso me vem uma vozinha dentro de mim dizendo: vc nao vai conseguir, vc nao e capaz, vc nao presta pra nada... eu nao aguento mais. nao sei mais o que fazer. realmente nao sei :'(";"s"
"eduardo eu to chocado contigo falando merda do rouge, elas eram super exploradas pela gravadora, elas eram super novas, e a luciana nao imaginava que o sucesso do rouge ia ser tao estrondoso e ela nao queria ser famosa, ela queria cantar em barzinho mesmo querido, elas voltaram porque elas merecem ser o rouge que elas sempre quiseram ser e nao as permitiam. entao eduardo, eu assisto voces todos os dias e amo voces mas eu to indignado contigo falando sem fundamento, pelo menos vai la entender a historia das meninas porque desse jeito voce esta chegando no nivel da sonia abrao falando sem moral nenhuma";"n"
"minha tia avo se matou de depressao ela se jogou de um pier nao morreu mas depois ela se jogou de baixo de um caminhao o caminhao parou ela nao foi atropelada mas uma vez quando ela tava trabalhando na cobertura de um predio e se jogou do ultimo andar e caiu em cima de um carro e ela morreu, e infelizmente a depressao e muito triste ela nao parou     ate se matar. depressao e uma coisa foda. jim carrey voce e um cara foda nao desista por favor!!!";"s"
"video maravilhoso, voces com certeza ajudaram e motivaram muitas pessoas com essas palavras, a coragem de chegar e falar sobre o assunto e o que eu mais achei lindo na atitude de voces, so quem ja conviveu ou convive com a depressao ou com alguem que tenha depressao consegue sentir de verdade a mensagem que voces passaram, serio, muito obrigada por isso.";"n"
"este video fala de sintomas e tratamento de doencas mentais por pessoa nao qualificada para tal, incitando pessoas a realizar tratamento de maneira equivocada, que pode levar a complicacao e piora do quadro de depressao, onde sabemos que a doenca. conduzida de forma equivocada, pode levar pessoas ao suicidio.. para falar a respeito e necessario que o profissional seja formado nas areas de psicologia ou psiquiatria, nao sendo este o caso e prevendo prejuizo grave a populacao, sugiro a retirada do conteudo. coaching nao e qualificado para tratar a saude mental. mais um video denunciado.";"n"
"*_vou contar a minha historia _* *_eu sempre fui uma crianca que tentava ver sempre o lado bom das coisas, sempre que nao conseguia alguma coisa ficava triste mas logo depois estava feliz novamente por que eu via algumas pessoas triste e pensava que seria assim, eu via essas pessoas tristes e me perguntava por que elas estavam desse jeito,pra mim a vida era boa pra todo mundo e ninguem deveria ficar assim, pouco depois eu mudei de cidade, ai comecou a piorar por que onde eu morava nao tinha muitas pessoas,mas eu comecei a me familiarizar com o lugar mas nem tanto com as pessoas,aos meus 12/13 eu comecei a ficar triste assim como as pessoas que eu olhava e me questionava,foi o inicio da depressao, nao gostava muito de conversar,mas minha mae me convenceu so 3 anos depois a procura ajuda psicologica,mas a depressao tinha aumentado,eu me perguntava por que ainda estava vivo .em 2017 e estava prestes a cometer suicidio quando uma pessoa que eu nem falava direito chegou pra mim soriu e falou por que ce vai fazer isso? tudo isso vai passar voce vai ser feliz um dia,um tempo depois ele se mudou nunca mais tive contato com ele, guardo a lembranca ate hoje da unica pessoa que nao colocou o dedo no meu rosto e falou que o que eu tinha era frescura, esse ano tentei ao maximo correr atras dos meus sonhos e motivos pra viver ate que a vida e a depressao resolveram trabalhar juntas e estou novamente pensando em suicidio,cogito o meu suicidio daqui pro final do ano_*  entao...por favor procure ajuda cedo, nao pense que voce deve segurar esses  maus sentimentos so pra voce se nao ficara igual eu  sem vontade de viver  adeus :)";"s"
"meninos, eu nao sei se voces tem algum problema com as meninas do rouge, mas e meio injusto voces falarem que elas so voltaram por dinheiro. desde 2012 (se nao me engano), elas tentam voltar so como presente aos fas que sempre pediram e encheram o saco delas pra ter uma despedida digna do grupo. tanto e que elas iriam voltar so pro cha rouge. amo voces, mas foi meio injusto dizer isso delas";"n"
"achei que faltou aquele velho aviso no video (mas que e essencial quando assunto sao problemas psicologicos sao abordados): ''procure a ajuda de um profissional''. me encontro num estado onde nao consigo buscar ajuda, sabendo que preciso, e sobrevivo a cada dia com meu cerebro rachando entre ''por ques'' e ''pra ques''. esses varios artistas citados sempre sao taxados de ''a culpa e dele'', ''ele que procurou'' etc etc. quem nao tem essa maldita doenca (e entre outras psicologicas) nunca vao entender que o meio (onde voce vive, com quem voce convive como escola, faculdade, etc) sao paradas que influenciam diretamente no seu eu. e tem mais, quando o assunto e falta de empatia, e falta de estudo. ''sao pessoas fracas";"s"
"jim carrey e simplesmente o melhor dos melhores, lembro que quando moleque eu sempre imitava ele nos filmes, eu realmente espero que ele esteja bem. uma coisa que resume bem o que ele fala no fim do video nos filmes estou apenas atuando. imagina voce ser totalmente sentimental e ator de comedia e bem controverso porque as pessoas esperam alguem alegre o tempo inteiro.";"n"
"principais comentarios  nomegusta   fixado por canal nostalgia nomegusta2 semanas atras sou fissurado no jim. o cara e uma meta profissional pra mim, maior referencia e admiracao! responder 6673      ver todas as 155 respostas   lado game  lado game3 dias atras hahaha responder       andregamer320  andregamer3201 segundo atras sou fissurado no jim. o cara e uma meta profissional pra mim, maior referencia e admiracao!  fixa o meu tbm to carente responder       gustavo lima  gustavo lima1 semana atras fale sobre o caso do shia labeouf do transformers que ha muito tempo vem mostrando sinais estranhos de depressao responder 50      ver todas as 6 respostas   caio silva music  caio silva music1 dia atras http://danizudo.blogspot.com.br/2015/02/o-que-esta-acontecendo-com-o-ator-shia.html responder       lucas carvalho  lucas carvalho1 dia atras +caio silva music, agr q eu fiquei  preocupado mesmo! responder       geovany ferreira  geovany ferreira2 semanas atras eu tenho um amigo que tem depressao, ele e engracado, vive falando besteira, e o cara que anima o role, e triste e estranho pensar que ele tem depressao. responder 88      ver todas as 20 respostas   luiz jorge  luiz jorge14 horas atras eu tbm sou piadista mas tbm tenho um pouco de depressao responder 1       thiago diniz  thiago diniz2 semanas atras (editado) castanhari, faz um video sobre o ator shia labeouf! ele anda meio doidao cara...  abracos responder 77      ver todas as 14 respostas   jess the killer  jess the killer4 dias atras ou do filthyfrank 1---1 responder 1       zedao pistolao  zedao pistolao3 dias atras faz sobre peixonalta responder       guara  guara2 semanas atras nostalgia cindy lauper? responder 61      ver todas as 2 respostas   canal minha geracao  canal minha geracao1 semana atras guara nossa verdade... responder 1       denz3l  denz3l1 semana atras krl eu n sabia q o general do kick ass 2 era o jim carrey ";"n"
"ja tive casos de depressao, sei que nao e nada facil e esse video ate me tocou demais. e uma sensacao horrivel, de pensar que todos estao contra voce e pensar que nao precisa de ajuda.  jim e uma fonte de admiracao e inspiracao, que nos fez rir em varios momentos dificeis. hoje so posso dizer que estarei torcendo pela sua melhora.  parabens pelo video castanhari!";"s"
"obrigado. muito obrigado. voces conseguiram narrar a dor que sinto todos os dias. tenho muitos amigos me ajudando, mas mesmo assim sinto aquela solidao (total ausencia de si mesmo) e a desesperanca citada no video. vou ao psiquiatra e faco terapia, mas realmente parece que nao havera fim para isso. os piores momentos, pelo menos para mim, e a hora de dormir e a de acordar. e quando todos sentimentos ruins aparecem... e nao vou mentir. o suicidio, por muitas vezes, parece-me a solucao(eu ja tentei e ainda penso nisso),  visto que a unica projecao que se tem e de uma vida constante de luta contra isso... e o pior... e saber que no final essa luta e minha... sou eu quem deve lutar... eis que  fico diante de um individuo sem forca! desculpem-me pela possivel falta de coesao e incoerencia neste comentario. eu  escrevi como uma tentativa de soltar os sentimentos.  mais uma vez, obrigado!";"s"
"video maravilhoso, presente pra mim que comemoro aniversario hoje (e pela idade conheco os grupos antigos todos que voces falaram rsrs .... valeu pela musica chiclete da adriana e a rapaziada, sr. saulo).  ah! carla perez fez um certo sucesso com bloco infantil, no carnaval de salvador, licenciamento de produtos etc. mas a ultima vez que vi alguma aparicao dela aqui na regiao nordeste foi fazendo propaganda para uma marca de refrigerante. muita gente, hoje em dia, nem sabe sobre o sucesso que ela fez.  beijos divaaaaaas!";"n"
"oi otavio, cara parabens pelo conteudo do canal... conheci o 'quadrado em branco' hoje e ja estou maratonando hehe... talvez q vcs nem leiam esse comentario, mas enfim... achei muito interessante a leitura que vcs fizeram sobre o obscurus e sua equivalencia a depressao,  contudo, tenho a impressao de que essa criatura da rowling representa algo mais complexo.... como algumas pessoas ja relembraram nos comentarios, os dementadores sao elementos do universo de harry potter que fazem uma analogia mais clara os efeitos de um transtorno depressivo (inclusive a propria autora comentou isso em entrevista ja), entao acredito sim q um obscurial lembra muito um paciente depressivo, mas o mecanismo atraves do qual se gera um obscurus parece se aproximar muito mais a discussao que a psicanalise faz sobre a repressao das pulsoes (ou dos desejos) e que acaba por gerar tumores na psique que podem se encaminhar tanto pra um transtorno depressivo quanto pra quadros mais severos, inclusive uma psicose... bom, talvez que eu esteja viajando tbm, mas achei q seria valido pontuar isso  mais uma vez, parabens pelo conteudo do canal... todo sucesso pra vcs e pra esse projeto. abraco.";"n"
"os bsb saiu o kevin,ai continuou,depois eles voltaram! agora vcs exageraram nas criticas com eles,pq acho que eles tem mtas musicas otimas desde a epoca do auge deles,inclusive essa que eles estao cantando na laje ai! o problema sao os gostos musicais da galera de 20 anos atras e de hoje,o povo nao ta nem ai pra musica boa hoje,musicas mais romanticas e tal...";"s"
"eu me encontro atualmente em um estado inicial de depressao. tenho uma auto estima baixissima. alem disso, minha amiga, que ano passado foi diagnosticada com depressao, agora desenvolveu ansiedade social e sindrome do panico por conta da doenca. te juro, nunca vi um cancer foder mais com uma pessoa do que uma depressao fode com a minha amiga. nao consigo cogitar doenca pior.";"s"
"e dificil voce ser alguem que esta sempre sorrindo na frente dos outros, sempre fazendo todos rirem e ficarem felizes... quando no fundo voce e o mais triste dali, muitos falam que depressao e frescura, sei como e ter e serio.. isso passa longe de ser frescura. o pior da depressao e que ela simplesmente aparece em algum momento e voce nao sabe como se abrir com os outros sobre isso (embora seja uma parte importante para lidar com ela)";"s"
"obrigado quadro em branco , mais uma vez voces me fizeram apreciar uma obra muito boa como o babadook , como voces sempre fazem ,ainda mais sobre um tema muito complicado de ser abordado como a depressao.e a cada video seu eu procuro ver as obras que voces utilizam para falar de certos temas , assim voces me fazem conhecer cada vez mais filmes , series , hqs etc. valeu";"n"
"o primeiro video que assisti em seu canal foi meu esposo quem me enviou,falando sobre a historia do cachorro do sylvester stallone,e achei muito 10.esse video sobre o jim carrey foi muito bom e esclarecedor para fas .parabens pelo trabalho! tu e muito inteligente e competente,tras coisas realmente interessantes e com conteudo,e realmente depressao nao e frescura.";"n"
"eu entendi a piada bosta.  ele quiz dizer q nao importa a   *posicao* q ele fique.  tem dois tipos de posicoes:   a de dormir  e a do jogo q e primeiro, segundo, terceiro lugar etc...  ok  0:56 o amigo dele perguntou q jogo ele tava jogando.  e em que posicao (do jogo) ele tava.  ai disse em terceiro.  o amigo perguntou se ele conseguia dormir.  ai ele disse nao.  e a mesma coisa de dizer q a posicao do jogo e a mesma coisa de uma posicao de tentar dormir.  (so q as duas posicooes sao bem diferentes no significado uma da outra.)  mas ja q o nome e igual *posicao*  ai ficou a ideia da piada.  essa e a piada bosta ok.";"n"
"esse som mudou minha vida  me ajudou muito, com uma tristeza que sentia  e nao tinha vontade de fazer nada....    agora por favor vc pode me ajuda pois com esse outro problema que e quando saiu na rua tenho panico de pessoas, por favor me ajude pois em 2010. cheguei atentar contra minha vida, pois quero encarar as pessoas novamente...socorro me ajude oque eu posso fazer?";"s"
"ouvi uma piada uma vez: um homem vai ao medico, diz que esta deprimido. diz que a vida parece dura e cruel. conta que se sente so num mundo ameacador. o medico diz: o tratamento e simples. o grande palhaco pagliacci esta na cidade, assista ao espetaculo. isso deve anima-lo. o homem se desfaz em lagrimas. e diz: mas, doutor... eu sou o pagliacci. boa piada. todo mundo ri. rufam os tambores. desce o pano.";"n"
"em menos de 10 minutos eu ja estou caindo em lagrimas. obrigada por esse video maravilhoso.  infelizmente muitos acham que isso e uma besteira, que logo vai passar (eu achava isso, ate o quadro se agravar), as vontades que eu nao tenho mais, sao vista aos olhos dos outros como preguica, as vezes que eu to distante ate do meu marido e do meu filho, aos olhos dos outros sao vistas como nao os amar mais, mas o pior disso tudo e nao ter o apoio familiar. ver esse video me abriu os olhos, vi que nao estou sozinha nessa e vi que da pra sair, basta querer.";"s"
"a erva mate ...  ... dos gauchos estimula a producao de serotonina pela glandula pineal porque tem triptofano que e um fosfato que vira serotonina no cerebro !   e a serotonina nao e so o alucinogeno mais forte e poderoso do mundo como a dmt ( da   a y a h u a s c a   !  ) assim como d i z e m, porque ela tambem e uma droga que faz fazer o que e certo !    mas ba, tche loco !  maza !";"n"
"castanhari , minha tia faleceu tem 3 semanas , ela tinha depressao bipolar e por conta da doenca ficou alcoolatra e fumava bastante. sofreu um ataque cardiaco e morreu dormindo , fico feliz de saber que voce esta usando de seu poder midiatico para conscientizar seu publico da periculosidade dessa doenca. obrigado meu amigo! voce faz meus dias mais felizes!";"n"
"rindo muito aqui, a postagem da mari maria, me lembrou meu irmao que deu os parabens nesse dia maravilhoso pra uma amiga minha na postagem que ela avisa que o pai dela morreu! o face tinha avisado ele um dia antes do aniversario dela, ele deu os parabens pra rs numa postagem que estava escrito dia inesquecivel e avisando da morte do pai um dia depois  do aniversario dela , ele nao leu e so postou os parabens kkkkkkk acabou fazendo ate ela ter uma crise de risada!! acabou virando piada interna na familia quando morre alguem kkkkkkk";"n"
"parabens pela coragem em demonstrar o lado fragil do ser humano e compartilhar sem medo. sempre quando leio sobre concurseiros parece que eles sao de outro mundo, nao sao humanos, tamanha forca em encarar de frente e que parece tao  facil estudar toneladas de materias. me identifiquei com voce por expor um problema dificil  e obstruir a forca para pegar um livro e ter confianca de que, quem sabe, pode dar certo. obrigada.";"n"
"eu sinceramente cansei de pedir ajuda aos meus familiares. entao guardo tudo para mim, doi muito menos do que ouvir todos aqueles xingamentos. nao vou mentir, e dificil, tem horas em que penso que vou realmente desistir. mas eu aprendi a lidar com essa incomoda tristeza, durante o dia, tento ao maximo ignorar que ela existe, nao dou um minimo espaco em minha mente para pensar nisso. e durante a noite, antes de dormir eu escuto rap, rock ou eletronica. que sao mais animadas e as batidas me impedem de dar atencao a dor.  eu vou levando assim, ate conseguir finalmente me ajudar mesmo, e por conta propria. minhas crises sao pesadas, e quando tenho elas - depressao e ansiedade atacam juntas - nem a musica mais alta pode me acalmar ou me destrair. enfim, eu so queria desabafar mesmo :)";"s"
"eu acredito que muitos desses caras que sao comediantes natos, como o jim carrey e o robin williams, no fundo sofrem de depressao ou alguma doenca da mente. aqui no brasil, o eduardo sterblitch, que inclusive e um grande fa do jim carrey e, na minha opiniao, e um dos melhores comediantes brasileiros da atualidade, ja disse ter sofrido de depressao. sao caras socialmente carismaticos e naturalmente engracados, mas quando estao sozinhos e precisam lidar com o ego, eles manifestam suas frustracoes internas.  castanhari, parabens pela qualidade da producao dos videos do seu canal!! pra mim, e o melhor canal do youtube brasil!!";"n"
"nilce maravilhosa, oferecendo pras pessoas que precisam o conselho neccesario pra que comecem a encarar a si mesmas de forma a propiciar uma autoanalise e a busca pelo tratamento necessario para poderem tratar desse mal terrivel que atinge a tantos, tudo isso com as ferramentas mais eficazes: a empatia e um papo serio mas em tom causal. prabens pela iniciativa e obrigado pelo servico de utilidade publica que e esse video <3";"n"
"eu espero de verdade que ele consiga se reerguer e nao tenha o mesmo final de sua namorada ou ate mesmo de outras pessoas.ele e um grande ator,um dos poucos que ainda consegue tirar muitas risadas,um ator que fez parte de toda a nossa infancia.todos nos passamos por dificuldades,por problemas mas,temos que ter apoio de deus e das pessoas que amamos para conseguir se livrar de historias como essa.ele nao tem culpa do que aconteceu com sua namorada,ele tentou ajudar,tentou fortalecer-se juntos.nao culpem,apenas compreendam.";"n"
"oi gabi, gostei muito da sua partilha. trado da depressao desde 2013, no meu caso e pos traumatica. hoje, pesquisando muitas coisas, vejo que existe diversas coisas que precisamos fazer para sair da depressao. meu foco e nao precisar mais tomar remedios controlados, por conta dos diversos efeitos colaterais que ja tive com ele. sei que a atividade fisica ja e comprovada como grande auxilio no tratamento da depressao, assim como a meditacao tambem. conheci no you tube a ana maria saad, ela parece meio doida, mas traz muito conteudo bom para quem sofre de depressao e ansiedade como nos. se tiver disponibilidade, procure sobre ela, o que ela passou e como ela ajuda as pessoas. hoje vejo um resultado ainda maior com as coisas que aprendi estudando e junto dela tambem.  forca, foco e fe, que voce encontrara seu caminho de cura da depressao, assim como estou encontrando o meu. deus abencoe.";"s"
